252636498	上海市普陀区曹杨路540号206室	上海普陀网信电脑培训学校	软件开发培训	上海	张老师	021-60643656		http://021.qeo.cn/xuexi/20125812542654.htm	
371482295	上海市普陀区武宁路1500号	上海内威培训	软件开发培训	上海	邓老师			http://021.qeo.cn/xuexi/2014419135418114941457156271.htm	
371482295	上海市普陀区武宁路1500号	上海内威培训	软件开发培训	上海	邓老师		15002138727	http://021.qeo.cn/xuexi/20146510412658343957661864.htm	
371482295	上海市普陀区武宁路1500号	上海内威培训	JAVA培训	上海	邓老师		15002138727	http://021.qeo.cn/xuexi/20148281049458343261666846.htm	
371482295	上海市普陀区武宁路1500号	上海内威培训	ASP.NET培训	上海	邓老师		15002138727	http://021.qeo.cn/xuexi/201481516163958343261148224.htm	
1280206332	上海徐汇区凯旋路2200号凯旋大厦7楼B座	上海达内为上软件科技有限公司宜山路分公司	软件开发培训	上海	达内老师			http://021.qeo.cn/xuexi/201410131674322122648126263321.htm	
371482295	上海市普陀区武宁路1500号	上海内威培训	软件开发培训	上海	邓老师			http://021.qeo.cn/xuexi/2014419135656114941457766969.htm	
371482295	上海市普陀区武宁路1500号	上海内威培训	JAVA培训	上海	邓老师		15002138727	http://021.qeo.cn/xuexi/2014830102155834326188823.htm	
1720466468	上海市中州路10号	华一教育培训中心	软件开发培训	上海	刘老师	021-63096320		http://021.qeo.cn/xuexi/20141211849211161247233557683.htm	
2576200547	上海市杨浦区大连路1548号莱克商务大厦210室	上海阜和进修学校	软件开发培训	上海	王老师			http://021.qeo.cn/xuexi/201471198481209018573625842.htm	
2957819550	武宁路1500号中楼二楼	上海市普陀区内威培训学校	软件开发培训	上海	刘老师			http://021.qeo.cn/xuexi/2014425124019583435245667789.htm	
1174664837	上海市长宁区华山路1076号	上海市信息技术培训中心	软件开发培训	上海	汤老师	021-62126450		http://021.qeo.cn/xuexi/201392310451680.htm	
304626566	上海市长宁区江苏路500号	上海华育国际软件实训基地	软件开发培训	上海	高老师			http://021.qeo.cn/xuexi/20131014162445718.htm	
304626566	上海市长宁区江苏路500号	上海华育国际软件实训基地	软件开发培训	上海	高老师			http://021.qeo.cn/xuexi/20131025162642220.htm	
1174664837	上海市长宁区华山路1076号	上海市信息技术培训中心	软件开发培训	上海	汤老师	021-62126450		http://021.qeo.cn/xuexi/2013425135018840.htm	
371482295	上海市普陀区武宁路1500号	上海内威培训	软件开发培训	上海	邓老师		15002138727	http://021.qeo.cn/xuexi/20146510384458343957264376.htm	
